1914 CEDAR HILL RD ,B,22901,NOT AVAILABLE,260,
1316 WILLOW DR ,A,22902,NOT AVAILABLE,5913,
800 CYNTHIANNA AVE ,,22903,NOT AVAILABLE,4007,
103 WILSON CT ,,22901,NOT AVAILABLE,175,
1407 MIDLAND ST ,,22902,NOT AVAILABLE,15264,
100 MELBOURNE PARK CIR ,D,22901,NOT AVAILABLE,,
1015 ST CHARLES AVE ,,22901,AVAILABLE,3189,
914 MONTROSE AVE ,A,22902,AVAILABLE,11598,
1112 ALTAVISTA AVE ,A,22902,AVAILABLE,12790,
739 NALLE ST ,,22903,AVAILABLE,7193,
2418 SUNSET RD ,A,22903,AVAILABLE,10989,
1532 BROAD AVE ,,22903,AVAILABLE,9359,
100 10TH ST NE ,202,22902,AVAILABLE,7859,
301 15TH ST NW ,3021,22903,NOT AVAILABLE,,
328 7 1/2 ST SW ,,22903,AVAILABLE,7812,
